"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"114",245,88,7695545,"Shrub Cover = 45%",160,143,107,0.62745098,0.560784314,0.419607843,20,0.1
"115",246,40,14507437,"Shrub Cover = 46%",156,137,103,0.611764706,0.537254902,0.403921569,9,0
"116",247,19,4573545,"Shrub Cover = 47%",152,131,100,0.596078431,0.51372549,0.392156863,4,0
"117",248,7,2461786,"Shrub Cover = 48%",148,125,96,0.580392157,0.490196078,0.376470588,2,0
"118",249,11,5474490,"Shrub Cover = 49%",143,120,93,0.560784314,0.470588235,0.364705882,2,0
"119",250,2,3063665,"Shrub Cover = 50%",139,114,90,0.545098039,0.447058824,0.352941176,0,0
"120",251,1,4272681,"Shrub Cover = 51%",135,108,86,0.529411765,0.423529412,0.337254902,0,0
"121",253,1,1022387,"Shrub Cover = 53%",127,97,78,0.498039216,0.380392157,0.305882353,0,0
"122",254,3,3398299,"Shrub Cover = 54%",123,92,73,0.482352941,0.360784314,0.28627451,1,0
"123",255,2,4164670,"Shrub Cover = 55%",120,88,68,0.470588235,0.345098039,0.266666667,0,0
"124",257,1,643048,"Shrub Cover = 57%",112,78,58,0.439215686,0.305882353,0.22745098,0,0
"125",259,1,1055039,"Shrub Cover = 59%",105,69,47,0.411764706,0.270588235,0.184313725,0,0
"126",310,1,4929207,"Herb Cover = 10%",204,230,225,0.8,0.901960784,0.882352941,0,0
"127",311,1,1097137,"Herb Cover = 11%",201,228,223,0.788235294,0.894117647,0.874509804,0,0
"128",312,1,1425769,"Herb Cover = 12%",197,227,221,0.77254902,0.890196078,0.866666667,0,0
"129",313,1,1605474,"Herb Cover = 13%",194,225,219,0.760784314,0.882352941,0.858823529,0,0
"130",314,1,2092395,"Herb Cover = 14%",190,223,218,0.745098039,0.874509804,0.854901961,0,0
"131",315,1,1615771,"Herb Cover = 15%",187,222,215,0.733333333,0.870588235,0.843137255,0,0
"132",317,3,2603161,"Herb Cover = 17%",180,218,211,0.705882353,0.854901961,0.82745098,1,0
"133",318,2,3108854,"Herb Cover = 18%",176,217,209,0.690196078,0.850980392,0.819607843,0,0
"134",319,1,3292426,"Herb Cover = 19%",173,215,207,0.678431373,0.843137255,0.811764706,0,0
"135",320,3,4374475,"Herb Cover = 20%",170,213,205,0.666666667,0.835294118,0.803921569,1,0
"136",321,8,2491584,"Herb Cover = 21%",166,211,203,0.650980392,0.82745098,0.796078431,2,0
"137",322,3,5390728,"Herb Cover = 22%",163,210,204,0.639215686,0.823529412,0.8,1,0
"138",323,2,5885321,"Herb Cover = 23%",159,208,199,0.623529412,0.815686275,0.780392157,0,0
"139",324,8,6222515,"Herb Cover = 24%",156,206,197,0.611764706,0.807843137,0.77254902,2,0
"140",325,11,19672273,"Herb Cover = 25%",152,205,195,0.596078431,0.803921569,0.764705882,2,0
"141",326,9,9794595,"Herb Cover = 26%",149,203,193,0.584313725,0.796078431,0.756862745,2,0
